Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
242099.6094	-0.4612	-8.2648	1.0962	-1.1444	9.0322	3.8694	-0.3105	-0.5417	-0.7679	242099.6094	-1.0246	2.5020	-0.4426	0.1866	9.7211	0.4026	-0.2596	-0.6777	-0.4366	242099.6094	-0.7091	0.0293	-0.3423	-0.6448	4.4901	-8.7059	-0.3823	-0.1354	0.6300	242099.6094	0.7347	10.2322	-0.9947	-0.2725	9.4499	2.8624	0.2353	-0.7160	0.1475	242099.6094	3509012338.7173	3509012096.6177	0.6632	1.2772	-0.7224	1.4193	9.8247	0.6956	0.2673	-0.6404	0.3916	242099.6094	-0.7698	-0.1060	-0.5018	0.2404	5.8657	-7.8597	-0.8000	1.7269	0.5446	242099.6094	3.1425	2.3157	-3.6717	-0.3652	9.7872	-1.5669	0.3117	-0.7490	-0.3226	0.0000	0.0000
242109.3750	-0.4612	-8.2648	1.0962	-1.3045	9.1086	3.7950	-0.3086	-0.5301	-0.7354	242109.3750	-1.0246	2.5020	-0.4426	0.1866	9.7999	0.4797	-0.2596	-0.6777	-0.4366	242109.3750	-0.7091	0.0293	-0.3423	-0.6448	4.3333	-8.7044	-0.3662	-0.0896	0.6189	242109.3750	0.7347	10.2322	-0.9947	-0.2733	9.6026	2.7837	0.2490	-0.6852	0.1194	242109.3750	3509012338.7271	3509012096.6177	0.6632	1.2772	-0.7224	1.4193	9.7469	0.6964	0.2653	-0.6170	0.3621	242109.3750	-0.7698	-0.1060	-0.5018	0.0016	5.9380	-8.0952	-0.8340	1.7332	0.5657	242109.3750	3.1425	2.3157	-3.6717	-0.2052	9.7880	-1.4891	0.2876	-0.7663	-0.3249	0.0000	0.0000
242119.1406	-0.4612	-8.2648	1.0962	-1.5451	9.1850	3.6463	-0.3162	-0.5748	-0.7657	242119.1406	-2.5946	4.6730	-1.3251	0.1866	9.7999	0.4797	-0.2615	-0.6953	-0.4624	242119.1406	-0.7091	0.0293	-0.3423	-0.7226	4.2549	-8.7028	-0.3662	-0.0896	0.6189	242119.1406	0.7347	10.2322	-0.9947	-0.4249	9.5263	3.0948	0.2490	-0.6852	0.1194	242119.1406	3509012338.7369	3509012096.6177	0.0019	0.7030	0.1908	1.5758	9.7469	0.6964	0.2429	-0.6234	0.3832	242119.1406	-0.7698	-0.1060	-0.5018	0.1608	5.8641	-7.9377	-0.8340	1.7038	0.5657	242119.1406	2.2660	5.7212	-1.5757	-0.2840	9.7888	-1.4114	0.3006	-0.7912	-0.3318	0.0000	0.0000
242128.9062	-2.2592	-6.7586	0.5568	-1.7037	9.0322	3.7246	-0.3276	-0.5650	-0.7397	242128.9062	-2.5946	4.6730	-1.3251	0.4254	9.7983	0.3225	-0.2692	-0.6699	-0.4323	242128.9062	-0.7091	0.0293	-0.3423	-0.6448	4.0988	-8.6252	-0.3561	-0.0854	0.6035	242128.9062	1.1786	5.1493	-2.2472	-0.5031	9.5263	3.0183	0.2431	-0.6770	0.1499	242128.9062	3509012338.7466	3509012096.6177	0.0019	0.7030	0.1908	1.4193	9.6692	0.6971	0.2429	-0.6234	0.3832	242128.9062	-0.7698	-0.1060	-0.5018	0.0820	5.9411	-7.9376	-0.8300	1.7038	0.5775	242128.9062	2.2660	5.7212	-1.5757	-0.2067	9.7864	-1.6446	0.2801	-0.7682	-0.3180	0.0000	0.0000
242138.6719	-2.2592	-6.7586	0.5568	-1.7030	8.9558	3.8006	-0.3181	-0.5748	-0.7722	242138.6719	-2.5946	4.6730	-1.3251	0.3458	9.7991	0.4011	-0.2692	-0.6699	-0.4323	242138.6719	-0.2255	0.0509	-0.1341	-0.7226	4.3333	-8.7036	-0.3722	-0.1083	0.6233	242138.6719	1.1786	5.1493	-2.2472	-0.4257	9.3735	3.0191	0.2373	-0.6893	0.1569	242138.6719	3509012338.7564	3509012096.6177	0.0019	0.7030	0.1908	1.4193	9.6676	0.5391	0.2653	-0.6277	0.3958	242138.6719	0.0608	-0.1645	-0.1655	0.0032	5.8642	-7.9345	-0.8040	1.7563	0.5493	242138.6719	2.2660	5.7212	-1.5757	-0.2067	9.6335	-1.6431	0.3043	-0.7663	-0.3341	0.0000	0.0000
242148.4375	-2.2592	-6.7586	0.5568	-1.9413	9.0322	3.8774	-0.3200	-0.5689	-0.7440	242148.4375	-2.5946	4.6730	-1.3251	0.2662	9.7195	0.2454	-0.2731	-0.6641	-0.4387	242148.4375	-0.2255	0.0509	-0.1341	-0.8005	4.3333	-8.7028	-0.3722	-0.1083	0.6233	242148.4375	1.1786	5.1493	-2.2472	-0.5812	9.5263	2.9419	0.2353	-0.6934	0.1335	242148.4375	3509012338.7662	3509012096.6177	0.0019	0.7030	0.1908	1.2628	9.6684	0.6181	0.2653	-0.6000	0.3642	242148.4375	0.0608	-0.1645	-0.1655	0.0024	5.8626	-8.0141	-0.8380	1.7269	0.5587	242148.4375	2.2660	5.7212	-1.5757	-0.2036	9.7131	-1.3329	0.2913	-0.7720	-0.3341	0.0000	0.0000
242158.2031	-2.2592	-6.7586	0.5568	-1.8631	8.9558	3.7270	-0.3105	-0.5359	-0.7570	242158.2031	-2.0389	2.7970	-2.0552	0.4254	9.7203	0.3240	-0.2538	-0.6641	-0.4495	242158.2031	-0.2255	0.0509	-0.1341	-0.8005	4.2549	-8.7020	-0.3783	-0.1229	0.6211	242158.2031	0.6888	0.8441	-3.5122	-0.5812	9.4499	2.9427	0.2353	-0.6934	0.1335	242158.2031	3509012338.7759	3509012096.6177	-0.4188	1.4867	0.7807	1.4193	9.5930	0.8559	0.2673	-0.6021	0.3832	242158.2031	0.0608	-0.1645	-0.1655	-0.0748	5.8658	-7.8534	-0.8380	1.7269	0.5587	242158.2031	0.5322	8.0672	-0.0213	-0.2052	9.6351	-1.4876	0.3043	-0.7874	-0.3318	0.0000	0.0000
242167.9687	0.0245	6.2287	-1.8894	-1.7796	8.8795	4.1029	-0.3181	-0.5301	-0.7397	242167.9687	-2.0389	2.7970	-2.0552	0.1866	9.7195	0.2454	-0.2750	-0.6855	-0.4323	242167.9687	-0.4408	0.6072	-0.2328	-0.7226	4.1780	-8.5484	-0.3541	-0.0583	0.6035	242167.9687	0.6888	0.8441	-3.5122	-0.6578	9.5263	3.0199	0.2431	-0.7016	0.1546	242167.9687	3509012338.7857	3509012096.6177	-0.4188	1.4867	0.7807	1.1064	9.5914	0.6979	0.2673	-0.6021	0.3832	242167.9687	0.2182	-0.5698	-0.0309	0.0820	5.9411	-7.9376	-0.8200	1.7374	0.5728	242167.9687	0.5322	8.0672	-0.0213	-0.2863	9.6335	-1.6431	0.2709	-0.7989	-0.3203	0.0000	0.0000
242177.7344	0.0245	6.2287	-1.8894	-1.7007	8.7267	4.0284	-0.3162	-0.5379	-0.7592	242177.7344	-2.0389	2.7970	-2.0552	0.5050	9.7203	0.3240	-0.2750	-0.6855	-0.4323	242177.7344	-0.4408	0.6072	-0.2328	-0.7226	4.1772	-8.6252	-0.3924	-0.1187	0.6256	242177.7344	0.6888	0.8441	-3.5122	-0.7344	9.4499	3.0986	0.2294	-0.6852	0.1546	242177.7344	3509012338.7955	3509012096.6177	-0.4188	1.4867	0.7807	1.1064	9.6692	0.6971	0.2673	-0.6234	0.4021	242177.7344	0.2182	-0.5698	-0.0309	0.0032	5.8642	-7.9345	-0.8200	1.7290	0.5399	242177.7344	0.5322	8.0672	-0.0213	-0.2863	9.5571	-1.6424	0.2801	-0.7720	-0.3226	0.0000	0.0000
242187.5000	0.0245	6.2287	-1.8894	-1.7804	8.7267	4.0292	-0.3143	-0.5262	-0.7332	242187.5000	-1.4687	1.5452	-2.2661	0.4254	9.7187	0.1668	-0.2462	-0.6406	-0.4387	242187.5000	-0.4408	0.6072	-0.2328	-0.6448	4.3341	-8.6275	-0.3924	-0.1187	0.6256	242187.5000	0.6888	0.8441	-3.5122	-0.7337	9.4499	3.1758	0.2255	-0.6872	0.1382	242187.5000	3509012338.8052	3509012096.6177	-0.7575	2.3918	0.4375	1.2628	9.6692	0.6971	0.2633	-0.6021	0.3726	242187.5000	0.2182	-0.5698	-0.0309	0.0827	5.9427	-7.8581	-0.8320	1.7290	0.5681	242187.5000	-0.2041	10.0045	0.8871	-0.2067	9.7100	-1.6439	0.2801	-0.7854	-0.3226	0.0000	0.0000
