Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
2348515.6250	2.6085	-1.7597	-0.3951	-1.0008	9.3377	2.2856	-0.4076	-0.6602	-0.5575	2350107.4219	-10.0304	-61.6948	99.9407	-2.0423	9.1536	-1.7089	0.1519	-0.7539	-0.4323	2350107.4219	33.2589	-50.0272	71.3885	7.1411	-0.3921	-10.6557	-0.5433	-0.3479	0.4185	2349589.8437	-0.6888	3.5936	0.1230	0.5725	9.8317	2.2325	0.2373	-0.7160	0.0000	2350107.4219	3509014446.6421	3509012096.5347	0.2843	-14.2624	-5.0898	2.8276	9.2248	2.9139	0.2694	-0.7511	0.2063	2350107.4219	9.2138	8.0951	-4.1740	-0.7911	5.1589	-8.5413	-0.7200	1.9097	0.5751	2347431.6406	-0.9243	3.8141	0.3552	0.3458	9.4759	-2.1081	0.2876	-0.8046	-0.2396	0.0000	0.0000
2348525.3906	2.6085	-1.7597	-0.3951	-1.1610	9.4905	2.2105	-0.4152	-0.6699	-0.5445	2350117.1875	-10.0304	-61.6948	99.9407	-2.6791	8.3733	-1.6933	0.2019	-0.7305	-0.4602	2350117.1875	33.2589	-50.0272	71.3885	7.5304	-1.1725	-10.2677	-0.5433	-0.3479	0.4185	2349599.6094	0.5664	-0.5769	2.2645	0.7288	9.5263	2.3884	0.2294	-0.7634	0.0468	2350117.1875	3509014446.6519	3509012096.5347	0.2843	-14.2624	-5.0898	2.9059	9.2232	2.7559	0.2918	-0.6809	0.1789	2350117.1875	9.2138	8.0951	-4.1740	-1.1039	5.0868	-8.2948	-0.7120	1.9286	0.5493	2347441.4062	-0.9243	3.8141	0.3552	0.3458	9.4759	-2.1081	0.3024	-0.7931	-0.2396	0.0000	0.0000
2348535.1562	3.2936	-0.7387	-0.5380	-0.9993	9.4141	2.4352	-0.4171	-0.6641	-0.5662	2350126.9531	-10.0304	-61.6948	99.9407	-3.9527	6.3444	-1.6527	0.2000	-0.7480	-0.4559	2350126.9531	12.1356	-44.7390	-17.5826	7.2968	-2.0221	-8.9507	-0.5151	-0.3500	0.4053	2349609.3750	0.5664	-0.5769	2.2645	0.5006	9.5263	2.7767	0.2294	-0.7634	0.0468	2350126.9531	3509014446.6617	3509012096.5347	-3.8147	-29.6577	-2.0733	2.0452	9.3668	1.5693	0.2980	-0.6915	0.2042	2350126.9531	6.2939	7.8827	-5.8574	-0.8691	5.0835	-8.4587	-0.7280	1.8992	0.5516	2347451.1719	-1.8227	3.8595	0.2699	0.5042	9.6281	-2.1874	0.2839	-0.7644	-0.2304	0.0000	0.0000
2348544.9219	3.2936	-0.7387	-0.5380	-1.1580	9.4905	2.5113	-0.4171	-0.6680	-0.5466	2350136.7187	-11.9581	-81.1629	57.1883	-3.9527	5.9653	-0.5444	0.2000	-0.7480	-0.4559	2350136.7187	12.1356	-44.7390	-17.5826	4.3382	-3.4927	-6.9856	-0.5231	-0.3563	0.4075	2349619.1406	0.5664	-0.5769	2.2645	0.0409	9.5263	3.2445	0.2412	-0.7202	0.0375	2350136.7187	3509014446.6714	3509012096.5347	-3.8147	-29.6577	-2.0733	1.9670	9.4501	2.1215	0.2980	-0.6915	0.2042	2350136.7187	6.2939	7.8827	-5.8574	-1.0283	5.0804	-8.6146	-0.7220	1.9202	0.5869	2347460.9375	-1.8227	3.8595	0.2699	0.3458	9.5524	-2.1089	0.3098	-0.7912	-0.2304	0.0000	0.0000
2348554.6875	3.2936	-0.7387	-0.5380	-1.3985	9.4141	2.3640	-0.3905	-0.6350	-0.5510	2350146.4844	-11.9581	-81.1629	57.1883	-3.0771	5.8084	-0.6199	0.1865	-0.7422	-0.4430	2350146.4844	12.1356	-44.7390	-17.5826	3.8710	-3.8855	-7.0539	-0.5231	-0.3563	0.4075	2349628.9062	0.5664	-0.5769	2.2645	0.0409	9.4499	3.2453	0.2353	-0.7428	0.0141	2350146.4844	3509014446.6812	3509012096.5347	-3.8147	-29.6577	-2.0733	1.9670	9.3684	1.7273	0.3000	-0.7064	0.2084	2350146.4844	6.2939	7.8827	-5.8574	-0.9479	5.3915	-8.4632	-0.7220	1.9202	0.5869	2347470.7031	-1.8227	3.8595	0.2699	0.4254	9.5524	-2.1089	0.2839	-0.7912	-0.2350	0.0000	0.0000
2348564.4531	3.6122	2.7255	-1.7449	-1.2399	9.4141	2.2872	-0.4000	-0.6427	-0.5510	2350156.2500	-11.9581	-81.1629	57.1883	-2.3607	4.4740	-1.3794	0.1827	-0.7480	-0.4645	2350156.2500	12.1356	-44.7390	-17.5826	4.0268	-3.5710	-6.9817	-0.5392	-0.3646	0.4207	2349638.6719	0.7194	-2.7358	7.9563	-0.3491	9.4499	2.9404	0.2412	-0.7160	0.0422	2350156.2500	3509014446.6909	3509012096.5347	-3.8147	-29.6577	-2.0733	2.3582	9.3708	1.9643	0.2837	-0.6957	0.1726	2350156.2500	4.8866	3.5712	-4.5550	-0.7911	5.4668	-8.5475	-0.7160	1.9013	0.5399	2347480.4687	-3.5033	4.4044	1.0494	0.2662	9.4759	-2.1081	0.3080	-0.7931	-0.2281	0.0000	0.0000
2348574.2187	3.6122	2.7255	-1.7449	-1.2384	9.5668	2.4361	-0.4057	-0.6408	-0.5727	2350166.0156	-11.9581	-81.1629	57.1883	-3.3955	3.2302	-0.8828	0.1962	-0.7305	-0.4538	2350166.0156	13.7623	-15.4930	-69.6555	3.4039	-3.5748	-7.3596	-0.5292	-0.3667	0.4163	2349648.4375	0.7194	-2.7358	7.9563	-0.1192	9.4499	2.7065	0.2412	-0.7160	0.0422	2350166.0156	3509014446.7007	3509012096.5347	-2.6993	-20.5905	-0.2365	2.0452	9.3763	2.5173	0.2816	-0.6851	0.1958	2350166.0156	4.8866	3.5712	-4.5550	-1.0268	5.4685	-8.4632	-0.7320	1.9307	0.5610	2347490.2344	-3.5033	4.4044	1.0494	0.2662	9.4759	-2.1081	0.2746	-0.7950	-0.2258	0.0000	0.0000
2348583.9844	3.6122	2.7255	-1.7449	-1.2399	9.4141	2.2872	-0.4000	-0.6388	-0.5466	2350175.7812	-10.4408	-72.1863	7.9725	-3.4751	2.6091	-0.5559	0.1962	-0.7305	-0.4538	2350175.7812	13.7623	-15.4930	-69.6555	3.1703	-3.4941	-7.1276	-0.5332	-0.3271	0.4207	2349658.2031	0.7194	-2.7358	7.9563	-0.1951	9.3735	2.8624	0.2471	-0.7160	0.0398	2350175.7812	3509014446.7105	3509012096.5347	-2.6993	-20.5905	-0.2365	1.8888	9.3716	2.0433	0.2816	-0.6851	0.1958	2350175.7812	4.8866	3.5712	-4.5550	-1.0243	5.1654	-8.2184	-0.7480	1.8908	0.5775	2347500.0000	-3.5033	4.4044	1.0494	0.2662	9.4759	-2.1081	0.3080	-0.7739	-0.2235	0.0000	0.0000
2348593.7500	3.6122	2.7255	-1.7449	-1.1602	9.4141	2.2864	-0.4210	-0.6777	-0.5618	2350185.5469	-10.4408	-72.1863	7.9725	-3.7139	2.5326	-0.3971	0.1923	-0.7383	-0.4409	2350185.5469	13.7623	-15.4930	-69.6555	2.0803	-3.7977	-6.1149	-0.5332	-0.3271	0.4207	2349667.9687	8.6025	9.3450	7.8178	-0.0396	9.6790	2.9350	0.2294	-0.7469	0.0094	2350185.5469	3509014446.7202	3509012096.5347	-2.6993	-20.5905	-0.2365	1.9670	9.2978	2.4391	0.2898	-0.7064	0.2126	2350185.5469	4.8866	3.5712	-4.5550	-1.0259	5.3161	-8.3806	-0.7480	1.8908	0.5775	2347509.7656	-3.4430	4.0714	1.0015	0.3466	9.4003	-2.0296	0.2857	-0.7759	-0.2258	0.0000	0.0000
2348603.5156	3.5657	2.4651	-1.6312	-1.1610	9.5668	2.2097	-0.4152	-0.6738	-0.5466	2350195.3125	-10.4408	-72.1863	7.9725	-3.6343	2.6122	-0.2414	0.1942	-0.7285	-0.4710	2350195.3125	-30.5125	-5.9226	-88.1531	2.0803	-3.7884	-5.1930	-0.5835	-0.3792	0.4383	2349677.7344	8.6025	9.3450	7.8178	-0.1200	9.5263	2.6285	0.2294	-0.7469	0.0094	2350195.3125	3509014446.7300	3509012096.5347	-3.2939	-20.5998	-0.2673	1.3411	9.4565	2.7536	0.2816	-0.7043	0.1642	2350195.3125	1.4784	-0.9993	-5.1132	-1.1055	5.2376	-8.4570	-0.7040	1.9349	0.5329	2347519.5312	-3.4430	4.0714	1.0015	0.3466	9.6296	-2.0319	0.2968	-0.7759	-0.2281	0.0000	0.0000
2348613.2812	3.5657	2.4651	-1.6312	-1.0001	9.5668	2.3585	-0.4152	-0.6738	-0.5705	2350205.0781	3.4603	-64.3599	-51.0947	-3.5547	2.4538	-0.4741	0.1635	-0.7598	-0.4602	2350205.0781	-30.5125	-5.9226	-88.1531	1.4574	-3.8691	-5.4165	-0.5513	-0.3083	0.4471	2349687.5000	8.6025	9.3450	7.8178	-0.4295	9.5263	2.6316	0.2529	-0.7366	0.0328	2350205.0781	3509014446.7398	3509012096.5347	-3.2939	-20.5998	-0.2673	1.3411	9.6033	1.8830	0.2816	-0.7043	0.1642	2350205.0781	1.4784	-0.9993	-5.1132	-0.9463	5.3177	-8.3026	-0.7440	1.9160	0.5610	2347529.2969	-3.4430	4.0714	1.0015	0.3458	9.4759	-2.1081	0.2857	-0.7893	-0.2304	0.0000	0.0000
2348623.0469	3.5657	2.4651	-1.6312	-1.1587	9.4905	2.4361	-0.4095	-0.6544	-0.5380	2350214.8437	3.4603	-64.3599	-51.0947	-3.0771	1.5150	-0.6912	0.1635	-0.7598	-0.4602	2350214.8437	-30.5125	-5.9226	-88.1531	1.3796	-3.1671	-5.8069	-0.5513	-0.3083	0.4471	2349697.2656	4.3472	-2.8387	18.8471	-0.7375	9.3735	2.7906	0.2549	-0.7305	0.0398	2350214.8437	3509014446.7495	3509012096.5347	-3.2939	-20.5998	-0.2673	1.5758	9.4501	2.1215	0.2735	-0.6957	0.1789	2350214.8437	1.4784	-0.9993	-5.1132	-0.7919	5.2343	-8.6224	-0.7240	1.8971	0.5798	2347539.0625	-3.4430	4.0714	1.0015	0.3451	9.4752	-2.1859	0.3006	-0.7816	-0.2281	0.0000	0.0000
2348632.8125	3.1783	2.1161	-1.5716	-1.0008	9.4905	2.2841	-0.4190	-0.6369	-0.5727	2350224.6094	3.4603	-64.3599	-51.0947	-3.5547	1.2778	-1.0010	0.1577	-0.7461	-0.4538	2350224.6094	-73.2216	10.9719	-87.9067	1.5353	-2.4598	-5.6618	-0.5634	-0.3167	0.4427	2349707.0312	4.3472	-2.8387	18.8471	-1.3535	9.3735	3.1056	0.2333	-0.7243	0.0164	2350224.6094	3509014446.7593	3509012096.5347	-3.4379	-11.5047	-4.0054	1.4976	9.6072	2.2780	0.2735	-0.7319	0.2147	2350224.6094	0.3372	-2.6794	-5.3026	-0.7911	5.2359	-8.5429	-0.7240	1.8971	0.5798	2347548.8281	-2.8165	4.9644	1.2795	0.3458	9.4759	-2.1081	0.3024	-0.7605	-0.2258	0.0000	0.0000
2348642.5781	3.1783	2.1161	-1.5716	-1.0775	9.3377	2.5872	-0.3981	-0.6388	-0.5510	2350234.3750	17.9285	-47.9560	-96.1850	-3.4751	1.5111	-1.0843	0.1385	-0.7480	-0.4796	2350234.3750	-73.2216	10.9719	-87.9067	0.6010	-2.6096	-4.9595	-0.6117	-0.3187	0.4559	2349716.7969	4.3472	-2.8387	18.8471	-1.6622	9.3735	3.1859	0.2333	-0.7243	0.0164	2350234.3750	3509014446.7691	3509012096.5347	-3.4379	-11.5047	-4.0054	1.5758	9.5247	1.8048	0.2796	-0.7170	0.1811	2350234.3750	0.3372	-2.6794	-5.3026	-0.9463	5.1637	-8.2995	-0.7120	1.9223	0.5329	2347558.5937	-2.8165	4.9644	1.2795	0.4231	9.4736	-2.3414	0.3173	-0.8008	-0.2281	0.0000	0.0000
2348652.3437	3.1783	2.1161	-1.5716	-1.0798	9.4141	2.3608	-0.4000	-0.6447	-0.5770	2350244.1406	17.9285	-47.9560	-96.1850	-3.2363	1.6664	-1.1660	0.1192	-0.7754	-0.4860	2350244.1406	-73.2216	10.9719	-87.9067	0.8345	-1.7470	-4.9705	-0.5976	-0.2875	0.4714	2349726.5625	7.1636	-10.1865	36.1080	-1.6630	9.2208	3.1102	0.2451	-0.7202	0.0351	2350244.1406	3509014446.7788	3509012096.5347	-3.4379	-11.5047	-4.0054	0.9499	9.6120	2.7520	0.2796	-0.7170	0.1811	2350244.1406	0.3372	-2.6794	-5.3026	-1.1055	5.0836	-8.4539	-0.7360	1.8845	0.5634	2347568.3594	-2.8165	4.9644	1.2795	0.4247	9.4752	-2.1859	0.3080	-0.7701	-0.2235	0.0000	0.0000
2348662.1094	3.6728	0.9759	-1.6930	-0.9181	9.4905	2.5841	-0.3943	-0.6388	-0.5488	2350253.9062	17.9285	-47.9560	-96.1850	-4.4303	1.2747	-1.3154	0.1192	-0.7754	-0.4860	2350253.9062	-73.2216	10.9719	-87.9067	0.2895	-1.0419	-5.0489	-0.5976	-0.2875	0.4714	2349736.3281	7.1636	-10.1865	36.1080	-1.4331	9.1444	2.8770	0.2725	-0.7263	0.0281	2350253.9062	3509014446.7886	3509012096.5347	-3.6016	-11.3808	-8.1855	1.2628	9.5303	2.3578	0.2776	-0.7021	0.1726	2350253.9062	-0.6933	-6.5392	-6.9010	-1.0259	5.0082	-8.3744	-0.7140	1.9181	0.5892	2347578.1250	-2.2550	4.5406	1.1510	0.5035	9.3215	-2.2621	0.3191	-0.7739	-0.2189	0.0000	0.0000
2348671.8750	3.6728	0.9759	-1.6930	-0.9189	9.4905	2.5089	-0.3981	-0.6524	-0.5770	2350263.6719	46.4645	-52.0010	-129.5491	-4.1119	1.6711	-0.6944	0.0942	-0.7324	-0.4688	2350263.6719	-99.5499	32.3169	-93.6791	-0.4112	-0.1031	-5.2818	-0.6036	-0.3167	0.4714	2349746.0937	7.1636	-10.1865	36.1080	-1.0485	9.0680	2.6424	0.2647	-0.7263	-0.0047	2350263.6719	3509014446.7984	3509012096.5347	-3.6016	-11.3808	-8.1855	1.4193	9.5303	2.3578	0.2878	-0.7511	0.2084	2350263.6719	-0.6933	-6.5392	-6.9010	-1.1047	5.3932	-8.3805	-0.7140	1.9181	0.5892	2347587.8906	-2.2550	4.5406	1.1510	0.3451	9.3987	-2.1851	0.2968	-0.7874	-0.2304	0.0000	0.0000
2348681.6406	3.6728	0.9759	-1.6930	-0.9189	9.4141	2.5096	-0.4076	-0.6369	-0.5401	2350273.4375	46.4645	-52.0010	-129.5491	-3.5547	2.3734	-0.7084	0.0673	-0.7383	-0.5032	2350273.4375	-99.5499	32.3169	-93.6791	-0.6448	0.9934	-5.4441	-0.6519	-0.3208	0.4956	2349755.8594	7.1636	-10.1865	36.1080	-0.8203	9.0680	2.2541	0.2647	-0.7263	-0.0047	2350273.4375	3509014446.8081	3509012096.5347	-3.6016	-11.3808	-8.1855	1.3411	9.6850	2.2772	0.2878	-0.7511	0.2084	2350273.4375	-0.6933	-6.5392	-6.9010	-1.1055	5.0066	-8.4524	-0.7100	1.9076	0.5376	2347597.6562	-2.2550	4.5406	1.1510	0.3451	9.3987	-2.1851	0.3154	-0.8103	-0.2281	0.0000	0.0000
2348691.4062	3.1962	-3.4533	-0.1995	-0.9196	9.4141	2.4344	-0.4190	-0.6408	-0.5683	2350283.2031	46.4645	-52.0010	-129.5491	-2.7587	2.5271	-0.9473	0.0673	-0.7383	-0.5032	2350283.2031	-99.5499	32.3169	-93.6791	-0.8005	2.0175	-4.9918	-0.6519	-0.3208	0.4956	2349765.6250	7.9902	-9.3206	44.1702	-0.5889	9.1444	2.1738	0.2745	-0.6872	0.0304	2350283.2031	3509014446.8179	3509012096.5347	-5.8323	-8.6380	-13.3656	1.2628	9.6120	2.7520	0.2857	-0.7426	0.1853	2350283.2031	-0.6933	-6.5392	-6.9010	-0.7903	5.3145	-8.4649	-0.7460	1.9181	0.5681	2347607.4219	-0.9496	4.3893	0.8714	0.4247	9.4752	-2.1859	0.3024	-0.7874	-0.2166	0.0000	0.0000
2348701.1719	3.1962	-3.4533	-0.1995	-1.1580	9.4905	2.5113	-0.4095	-0.6311	-0.5423	2350292.9687	46.4645	-52.0010	-129.5491	-3.3159	3.6235	-0.5762	0.0327	-0.7891	-0.5075	2350292.9687	-124.6498	38.0811	-87.8968	-1.0341	2.6510	-4.3811	-0.6539	-0.2875	0.4978	2349775.3906	7.9902	-9.3206	44.1702	-0.0472	8.9153	2.1707	0.2843	-0.7284	0.0211	2350292.9687	3509014446.8277	3509012096.5347	-5.8323	-8.6380	-13.3656	1.6540	9.6072	2.2780	0.2898	-0.7043	0.1684	2350292.9687	-1.1821	-7.2037	-7.3906	-0.9471	5.3931	-8.3837	-0.7240	1.8908	0.5845	2347617.1875	-0.9496	4.3893	0.8714	0.4254	9.4759	-2.1081	0.2950	-0.7950	-0.2258	0.0000	0.0000
2348710.9375	3.1962	-3.4533	-0.1995	-1.1564	9.4141	2.6624	-0.4152	-0.6447	-0.5618	2350302.7344	33.6739	-26.9776	-139.6068	-3.7935	4.6419	-0.2034	0.0135	-0.7285	-0.4946	2350302.7344	-124.6498	38.0811	-87.8968	-1.2676	3.9843	-4.3921	-0.6519	-0.2833	0.5044	2349785.1562	7.9902	-9.3206	44.1702	0.0302	8.8389	2.1707	0.2843	-0.7284	0.0211	2350302.7344	3509014446.8374	3509012096.5347	-5.8323	-8.6380	-13.3656	2.0452	9.3692	1.8063	0.2878	-0.7340	0.2084	2350302.7344	-1.1821	-7.2037	-7.3906	-1.0259	5.1622	-8.3775	-0.7240	1.8908	0.5845	2347626.9531	-0.9496	4.3893	0.8714	0.3451	9.4752	-2.1859	0.3043	-0.7797	-0.2235	0.0000	0.0000
2348720.7031	3.1962	-3.4533	-0.1995	-0.9993	9.4141	2.4352	-0.3981	-0.6505	-0.5531	2350312.5000	33.6739	-26.9776	-139.6068	-3.8731	4.8768	-0.1295	-0.0019	-0.7676	-0.5269	2350312.5000	-124.6498	38.0811	-87.8968	-1.3455	5.3959	-4.4054	-0.6922	-0.2833	0.5308	2349794.9219	9.9801	-0.9494	36.8249	0.1091	8.9916	2.3227	0.3000	-0.6872	0.0047	2350312.5000	3509014446.8472	3509012096.5347	-5.8323	-8.6380	-13.3656	1.8105	9.4454	1.6475	0.2878	-0.7340	0.2084	2350312.5000	-1.1821	-7.2037	-7.3906	-1.0275	5.3130	-8.5397	-0.6940	1.9265	0.5258	2347636.7187	0.3310	4.1168	1.1536	0.4262	9.4003	-2.0296	0.3098	-0.7950	-0.2304	0.0000	0.0000
2348730.4687	3.5383	-3.4874	0.7472	-1.2369	9.4141	2.5880	-0.4019	-0.6524	-0.5813	2350322.2656	33.6739	-26.9776	-139.6068	-3.3955	5.6555	-0.3023	-0.0019	-0.7676	-0.5269	2350322.2656	-110.8669	24.3750	-94.2991	-1.1119	7.1227	-4.2714	-0.6922	-0.2833	0.5308	2349804.6875	9.9801	-0.9494	36.8249	0.0316	9.5263	2.3182	0.2922	-0.7181	0.0211	2350322.2656	3509014446.8570	3509012096.5347	-5.8059	-10.1055	-18.3427	0.9499	9.6009	1.6460	0.2776	-0.7298	0.1832	2350322.2656	-2.3351	-6.7229	-7.1956	-1.1055	5.0066	-8.4524	-0.7440	1.9076	0.5822	2347646.4844	0.3310	4.1168	1.1536	0.4255	9.3230	-2.1066	0.2931	-0.7950	-0.2166	0.0000	0.0000
2348740.2344	3.5383	-3.4874	0.7472	-1.1580	9.4905	2.5113	-0.3962	-0.6466	-0.5575	2350332.0312	9.7684	-23.3643	-125.6702	-3.3955	6.4358	-0.3179	-0.0212	-0.7578	-0.5226	2350332.0312	-110.8669	24.3750	-94.2991	-1.2676	8.1553	-2.9740	-0.7022	-0.2625	0.5573	2349814.4531	9.9801	-0.9494	36.8249	0.0293	9.6026	2.0858	0.3059	-0.6914	0.0234	2350332.0312	3509014446.8667	3509012096.5347	-5.8059	-10.1055	-18.3427	0.5587	9.8389	2.1177	0.2816	-0.6979	0.1684	2350332.0312	-2.3351	-6.7229	-7.1956	-1.1055	5.0066	-8.4524	-0.6980	1.9076	0.5798	2347656.2500	0.3310	4.1168	1.1536	0.3458	9.5524	-2.1089	0.2968	-0.7797	-0.2212	0.0000	0.0000
2348750.0000	3.5383	-3.4874	0.7472	-1.1572	9.4905	2.5865	-0.4095	-0.6602	-0.5748	2350341.7969	9.7684	-23.3643	-125.6702	-3.7935	7.5307	-0.1039	-0.0462	-0.7715	-0.4946	2350341.7969	-110.8669	24.3750	-94.2991	-1.5012	9.6485	-2.6793	-0.7082	-0.2687	0.5683	2349824.2187	8.5872	18.3712	22.2536	-0.0496	9.5263	1.9330	0.3059	-0.6914	0.0234	2350341.7969	3509014446.8765	3509012096.5347	-5.8059	-10.1055	-18.3427	1.4976	9.7596	1.9604	0.2816	-0.6979	0.1684	2350341.7969	-2.3351	-6.7229	-7.1956	-1.1835	5.0853	-8.3728	-0.6980	1.9076	0.5798	2347666.0156	0.3310	4.1168	1.1536	0.4239	9.3979	-2.2629	0.3247	-0.7701	-0.2143	0.0000	0.0000
2348759.7656	2.7526	-2.6510	0.3232	-1.0797	9.3377	2.3616	-0.4019	-0.6583	-0.5597	2350351.5625	9.7684	-23.3643	-125.6702	-4.9876	8.3914	0.1147	-0.0615	-0.7617	-0.5312	2350351.5625	-50.7567	4.8218	-87.6455	-1.1898	10.9824	-2.6189	-0.7082	-0.2687	0.5683	2349833.9844	8.5872	18.3712	22.2536	0.1849	9.5263	2.1622	0.3000	-0.6955	-0.0023	2350351.5625	3509014446.8863	3509012096.5347	-5.3263	-0.0996	-22.1943	1.9670	9.6104	2.5940	0.2592	-0.7468	0.2042	2350351.5625	-1.8421	-1.3125	-12.5236	-0.9471	5.0082	-8.3760	-0.6940	1.9349	0.5376	2347675.7812	0.3894	4.4196	0.9088	0.4262	9.5532	-2.0311	0.2987	-0.8103	-0.2258	0.0000	0.0000
2348769.5312	2.7526	-2.6510	0.3232	-1.1610	9.4905	2.2105	-0.4267	-0.6738	-0.5727	2350361.3281	-2.2026	-37.9765	-85.6353	-5.5448	8.9431	0.6541	-0.0615	-0.7617	-0.5312	2350361.3281	-50.7567	4.8218	-87.6455	-1.5012	12.1595	-2.5508	-0.7384	-0.2479	0.5969	2349843.7500	8.5872	18.3712	22.2536	0.6515	9.5263	2.3892	0.3059	-0.6770	0.0234	2350361.3281	3509014446.8960	3509012096.5347	-5.3263	-0.0996	-22.1943	2.1235	9.8460	2.8287	0.2673	-0.7277	0.2042	2350361.3281	-1.8421	-1.3125	-12.5236	-0.9471	5.1621	-8.3791	-0.7260	1.8971	0.5704	2347685.5469	0.3894	4.4196	0.9088	0.4247	9.3222	-2.1844	0.2894	-0.7816	-0.2212	0.0000	0.0000
2348779.2969	2.7526	-2.6510	0.3232	-1.2384	9.4141	2.4376	-0.4133	-0.6854	-0.5488	2350371.0937	-2.2026	-37.9765	-85.6353	-5.4652	9.4854	0.2501	-0.0808	-0.7812	-0.5247	2350371.0937	-50.7567	4.8218	-87.6455	-0.6448	13.9532	-3.5761	-0.7686	-0.2667	0.6167	2349853.5156	15.4600	28.3771	9.1685	0.8867	9.3735	2.6972	0.3216	-0.6872	0.0375	2350371.0937	3509014446.9058	3509012096.5347	-5.3263	-0.0996	-22.1943	2.7494	10.0785	2.7474	0.2633	-0.7234	0.1705	2350371.0937	-1.8421	-1.3125	-12.5236	-1.0259	5.3931	-8.3821	-0.7260	1.8971	0.5704	2347695.3125	0.3894	4.4196	0.9088	0.2655	9.4752	-2.1859	0.3117	-0.7874	-0.2258	0.0000	0.0000
