Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
2346884.7656	3.1702	-0.1851	-0.8246	-1.0790	9.4141	2.4360	-0.4114	-0.6583	-0.5315	2348476.5625	-0.2636	0.2947	0.3733	0.2662	9.7258	0.8743	-0.2788	-0.6543	-0.4882	2348476.5625	0.1534	0.1206	0.0301	1.7689	5.1242	-8.0449	-0.5292	-0.1271	0.5242	2347958.9844	1.6838	1.1110	-0.4562	0.5779	9.4499	2.7767	0.2471	-0.7263	0.0094	2348476.5625	3509014445.0113	3509012096.5347	-0.2758	0.9962	-0.1585	0.4022	9.6810	1.8822	0.4020	-0.6191	0.1832	2348476.5625	-0.0671	0.1989	-0.4658	-0.9471	5.3161	-8.3822	-0.6920	1.8971	0.5469	2345800.7812	-1.6648	1.0595	-0.6759	0.3489	9.5555	-1.7979	0.3061	-0.7778	-0.2465	0.0000	0.0000
2346894.5312	3.1702	-0.1851	-0.8246	-1.3173	9.4141	2.5136	-0.4057	-0.6621	-0.5618	2348486.3281	-0.2053	2.1835	0.3149	0.3458	9.8038	0.8727	-0.2923	-0.6641	-0.4817	2348486.3281	0.1534	0.1206	0.0301	1.7689	5.1234	-8.1217	-0.5010	-0.1125	0.5088	2347968.7500	1.6838	1.1110	-0.4562	0.5772	9.5263	2.6987	0.2412	-0.7490	0.0304	2348486.3281	3509014445.0210	3509012096.5347	-0.2758	0.9962	-0.1585	0.4022	9.7596	1.9604	0.4163	-0.6426	0.2211	2348486.3281	-0.0671	0.1989	-0.4658	-0.9471	5.3161	-8.3822	-0.7160	1.8929	0.5469	2345810.5469	-1.6648	1.0595	-0.6759	0.3482	9.6312	-1.8764	0.2950	-0.7644	-0.2419	0.0000	0.0000
2346904.2969	3.1702	-0.1851	-0.8246	-1.4775	9.4141	2.4400	-0.4038	-0.6718	-0.5423	2348496.0937	-0.2053	2.1835	0.3149	0.2662	9.7250	0.7957	-0.2808	-0.6797	-0.4989	2348496.0937	0.0754	-0.0041	0.1665	1.7689	5.2042	-7.8921	-0.5312	-0.1333	0.5022	2347978.5156	1.6838	1.1110	-0.4562	0.5779	9.4499	2.7767	0.2431	-0.7263	0.0422	2348496.0937	3509014445.0308	3509012096.5347	-0.4916	1.5027	-0.3985	0.4804	9.6818	1.9612	0.4102	-0.6426	0.1979	2348496.0937	-0.1004	0.5104	-0.6783	-0.9471	5.3931	-8.3837	-0.7160	1.8929	0.5469	2345820.3125	-1.6648	1.0595	-0.6759	0.2693	9.5555	-1.7979	0.3098	-0.7759	-0.2535	0.0000	0.0000
2346914.0625	3.1379	0.1067	-1.0439	-1.2399	9.4141	2.2872	-0.4000	-0.6718	-0.5618	2348505.8594	-0.2053	2.1835	0.3149	0.2662	9.8023	0.7155	-0.2962	-0.6484	-0.4860	2348505.8594	0.0754	-0.0041	0.1665	1.7689	5.1250	-7.9681	-0.5312	-0.1333	0.5022	2347988.2812	1.5460	1.9476	-1.0194	0.5764	9.4499	2.6223	0.2294	-0.7387	0.0117	2348505.8594	3509014445.0406	3509012096.5347	-0.4916	1.5027	-0.3985	0.5587	9.6818	1.9612	0.4102	-0.6426	0.1979	2348505.8594	-0.1004	0.5104	-0.6783	-0.8675	5.2407	-8.3026	-0.7320	1.8992	0.5869	2345830.0781	-3.0760	1.5287	-0.3316	0.5058	9.5532	-2.0311	0.2876	-0.7644	-0.2419	0.0000	0.0000
2346923.8281	3.1379	0.1067	-1.0439	-1.3993	9.3377	2.2896	-0.4057	-0.6660	-0.5445	2348515.6250	0.0790	1.5288	0.1035	0.2662	9.8015	0.6369	-0.2962	-0.6484	-0.4860	2348515.6250	0.0754	-0.0041	0.1665	1.6910	5.1234	-8.1210	-0.5352	-0.1333	0.5220	2347998.0469	1.5460	1.9476	-1.0194	0.5006	9.4499	2.7775	0.2294	-0.7387	0.0117	2348515.6250	3509014445.0503	3509012096.5347	-0.4916	1.5027	-0.3985	0.4804	9.7588	1.8814	0.3898	-0.6340	0.1789	2348515.6250	-0.1004	0.5104	-0.6783	-0.9479	5.3145	-8.4617	-0.7180	1.8950	0.5516	2345839.8437	-3.0760	1.5287	-0.3316	0.3482	9.6312	-1.8764	0.3191	-0.7720	-0.2419	0.0000	0.0000
2346933.5937	3.1379	0.1067	-1.0439	-1.2414	9.4905	2.1361	-0.3981	-0.6524	-0.5597	2348525.3906	0.0790	1.5288	0.1035	0.3458	9.7242	0.7171	-0.2827	-0.6289	-0.4753	2348525.3906	0.0970	-0.4330	0.1315	1.7689	5.1242	-8.0449	-0.5151	-0.1313	0.4978	2348007.8125	1.5460	1.9476	-1.0194	0.6561	9.3735	2.8539	0.2451	-0.7284	0.0281	2348525.3906	3509014445.0601	3509012096.5347	-0.9375	1.1556	-0.8002	0.5587	9.6810	1.8822	0.3878	-0.6745	0.2189	2348525.3906	-0.0362	0.3202	-0.4980	-0.8675	5.3177	-8.3042	-0.7180	1.8992	0.5399	2345849.6094	-3.0760	1.5287	-0.3316	0.5081	9.5555	-1.7979	0.2950	-0.7625	-0.2373	0.0000	0.0000
2346943.3594	3.1379	0.1067	-1.0439	-1.2376	9.4141	2.5128	-0.4114	-0.6660	-0.5423	2348535.1562	0.0790	1.5288	0.1035	0.1866	9.7258	0.8743	-0.2769	-0.6699	-0.4968	2348535.1562	0.0970	-0.4330	0.1315	1.6910	5.1250	-7.9673	-0.5151	-0.1313	0.4978	2348017.5781	1.3470	1.0013	-0.4218	0.5779	9.4499	2.7767	0.2314	-0.7593	0.0375	2348535.1562	3509014445.0699	3509012096.5347	-0.9375	1.1556	-0.8002	0.7934	9.7596	1.9604	0.3878	-0.6745	0.2189	2348535.1562	-0.0362	0.3202	-0.4980	-0.9471	5.3161	-8.3822	-0.7180	1.8992	0.5399	2345859.3750	-3.0760	1.5287	-0.3316	0.5089	9.5563	-1.7201	0.3117	-0.7759	-0.2581	0.0000	0.0000
2346953.1250	3.0748	1.1659	-0.8792	-1.3978	9.4141	2.4392	-0.4133	-0.6621	-0.5575	2348544.9219	0.0790	1.5288	0.1035	0.2662	9.8038	0.8727	-0.2788	-0.6367	-0.4839	2348544.9219	0.0970	-0.4330	0.1315	1.6131	5.1242	-8.0434	-0.5211	-0.1396	0.5044	2348027.3437	1.3470	1.0013	-0.4218	0.7327	9.4499	2.7751	0.2314	-0.6975	0.0211	2348544.9219	3509014445.0796	3509012096.5347	-0.9375	1.1556	-0.8002	0.6369	9.6810	1.8822	0.4000	-0.6787	0.2042	2348544.9219	-0.0362	0.3202	-0.4980	-1.1055	5.2376	-8.4570	-0.7360	1.9013	0.5845	2345869.1406	-4.0259	1.3925	0.5096	0.5066	9.5539	-1.9534	0.3080	-0.7835	-0.2373	0.0000	0.0000
2346962.8906	3.0748	1.1659	-0.8792	-1.3188	9.4905	2.3625	-0.4190	-0.6544	-0.5358	2348554.6875	0.1614	1.2592	0.2947	0.3458	9.8023	0.7155	-0.2788	-0.6367	-0.4839	2348554.6875	0.0970	-0.4330	0.1315	1.7689	5.1250	-7.9681	-0.5392	-0.1542	0.5176	2348037.1094	1.3470	1.0013	-0.4218	0.5772	9.5263	2.6987	0.2314	-0.6975	0.0211	2348554.6875	3509014445.0894	3509012096.5347	-0.7214	-0.4513	-0.5253	0.5587	9.5263	1.9628	0.3939	-0.6723	0.1768	2348554.6875	-0.4120	0.3389	-0.6221	-0.8683	5.2391	-8.3822	-0.7060	1.9223	0.5469	2345878.9062	-4.0259	1.3925	0.5096	0.4285	9.4790	-1.7971	0.3135	-0.7759	-0.2373	0.0000	0.0000
2346972.6562	3.0748	1.1659	-0.8792	-1.3181	9.4905	2.4377	-0.4210	-0.6544	-0.5618	2348564.4531	0.1614	1.2592	0.2947	0.3458	9.6462	0.7186	-0.2808	-0.6328	-0.4710	2348564.4531	0.0381	-0.3623	-0.3081	1.7689	5.1250	-7.9681	-0.5111	-0.1583	0.5022	2348046.8750	1.6378	0.7360	-0.8387	0.6553	9.4499	2.7759	0.2373	-0.7305	0.0304	2348564.4531	3509014445.0992	3509012096.5347	-0.7214	-0.4513	-0.5253	0.5587	9.6025	1.8040	0.3959	-0.6447	0.2126	2348564.4531	-0.4120	0.3389	-0.6221	-0.8683	5.3161	-8.3837	-0.7080	1.9034	0.5446	2345888.6719	-4.0259	1.3925	0.5096	0.3466	9.4003	-2.0296	0.2968	-0.7644	-0.2442	0.0000	0.0000
